Id,Tweet,Nom
1338962943803715584,@ElijahSchaffer I disagree its a nation created under christians for the saftey of all religions. Religion has no place in politics.,Nunyah
1338962942394466304,"Will be behind him ALL THE WAY, I trust the Plan, if you want to lose your mind over this game of politics hey go f… https://t.co/MuusIEVpZy",Tinkerblue Diamond
1338962941752832001,RT @DavidCornDC: JUST POSTED: Trump just retweeted a Seth Rich conspiracy theorist who's calling for an uprising. These are the people he's…,Brenda Of The North
1338962940997881858,"RT @Scientists4EU: “Erasmus, which was established in 1987, allows students to study abroad elsewhere in Europe, with over 4,000 participat…",Peta Brown
1338962940788019201,RT @Acyn: Schmidt:.. the coalition that elected Joe Biden has to hang together because the pro-democracy side of a great debate in American…,Let Freedom Ring
1338962939852726272,He said what was expected it’s what politicians do. Trump has said things too despite us knowing how he really feel… https://t.co/eRN1nEqRR4,Tinkerblue Diamond
1338962939571793921,"RT @hapoelorient: I'm reading a book about the 1830s when there were 2 parties; Whigs &amp; Tories. While the Whigs were slightly better, both…",Doris
1338962938493685760,"RT @johniadarola: No one has lost quite like Donald Trump in nearly 150 years

https://t.co/jQoHQAIhDC",Dystopian🐉🌹🍀
1338962937457815559,"RT @PSAdemocracy: CfA - Interpretive Policy Analysis Conference 2021 ""Interpreting Politics, Governance and Space"" @Ipa2021 - submit your p…",CitizenParticipation
1338962935939440641,"RT @thenation: Congressional Republicans even promised to challenge the Electoral College certification process in January.

https://t.co/0…",rebel
1338962935519965185,"Melania Trump breaks children's hospital rules by taking her mask off to read to patients
https://t.co/IrUkfEoZpz… https://t.co/BazBHlxLRV",PeteNoGreenCard
1338962934706429966,"RT @usatodayDC: President-elect Joe Biden campaigned Tuesday in Georgia, where two Senate runoff races will determine whether Republicans r…",Kitchen Conversations Podcast
1338962934429601793,RT @CNN: JUST IN: Senate Majority Leader Mitch McConnell publicly recognizes Joe Biden’s win. The comments are significant and only came af…,Kalyn Norwood
1338962933024391168,RT @thejoshuablog: Via @CNNPolitics: All the states Trump challenged have now cast electoral ballots for Biden https://t.co/f80hwdnyS6 |,joshua epstein🏳️‍🌈🖖🏼🗽👨🏼‍💻🇺🇸
1338962932806406144,RT @JolyonMaugham: He got a 45% pay rise whilst lowly public servants got a pay freeze. One rule for them and another for you. https://t.co…,MimiJ
1338962932307292166,RT @JolyonMaugham: He got a 45% pay rise whilst lowly public servants got a pay freeze. One rule for them and another for you. https://t.co…,jane redshaw
1338962932147904512,"RT @thenation: Congressional Republicans even promised to challenge the Electoral College certification process in January.

https://t.co/0…",Jessica Josephson
1338962931610836992,RT @thejoshuablog: Via @CNNPolitics: Trump moves to sanction Turkey over Russian missile defense system under pressure from Congress https:…,joshua epstein🏳️‍🌈🖖🏼🗽👨🏼‍💻🇺🇸
1338962929811537922,"RT @thejoshuablog: Via @CNNPolitics: READ: Rep. Paul Mitchell's letter quitting the GOP, fearing 'long-term harm to our democracy' with its…",joshua epstein🏳️‍🌈🖖🏼🗽👨🏼‍💻🇺🇸
1338962928507056128,@BrandonStraka Truly next level analysis. We all need to challenge the farce that goes by the title “Identity Politics@.,Mario Mazzanouvle
1338962927416528897,RT @thejoshuablog: Via @CNNPolitics: Congressman cites Trump's efforts to overturn election in announcing decision to quit GOP https://t.co…,joshua epstein🏳️‍🌈🖖🏼🗽👨🏼‍💻🇺🇸
1338962926758207490,"I guest you really ""don't"" care do you .@flotus?
https://t.co/cZ4QcNpGNp #lptv",Monique' Jones
1338962926133104640,RT @thejoshuablog: Via @CNNPolitics: Biden to call on nation to 'turn the page' and unite in speech after Electoral College vote https://t.…,joshua epstein🏳️‍🌈🖖🏼🗽👨🏼‍💻🇺🇸
1338962925185363973,@WSJPolitics Great choice! Pete Buttigieg has one of the most brilliant minds to come along in politics in a while.… https://t.co/6ZAXVMNxWs,Ellie W.
1338962924098867200,Decimation of Parliamentary Democracy is Complete: Congress Slams Govt Over No Winter Session of Parl https://t.co/hy8EIgLDh0,R.RAMACHANDRAN
1338962921255264257,"Australians older than 70 will get the COVID-19 vaccine first, while children under the age of 18 are unlikely to r… https://t.co/YELABhZvUd",H24 News Australia
1338962921230131201,RT @cnnbrk: Pete Buttigieg is Biden's pick for transportation secretary. He will be the first Senate-confirmed LGBTQ Cabinet member if his…,GKostrzewa-ZorbasPhD
1338962920965877762,@Nowfornow20 @AP_Politics How is anyone qualified for that job? What do you have to be a f**king choo choo driver?… https://t.co/EPfLC9Rz4f,Bernedout
1338962920600834049,"Will be a true test for him. A lot of people expect him to go far in politics, but his experience lacks. With this.… https://t.co/ec7RrMCORc",Jenika E. 💀🏳️‍🌈
1338962918839238656,"RT @NYDailyNews: House Speaker Nancy Pelosi is laying down the law: Wear your mask or shut up.

“Masks will now be required at all times ..…",Sharry
